,Unnamed: 0,Shoename,Category,Colour,Shoe_Price,CountOfSizes,Color1,Color2,Color3,Color4,Color5,Style_codeProduct_code,Reviews,Size,Comfort,Durability_quality_performance,Star_rating
37,37,Light purple casual sneaker for women,Light purple casual sneaker for women,2,4797,0,LPURPLE,BEIGE,,,,FLC0DY0T7832A,0,0,SUEDE MESH,"Light purple trendy and sporty casual sneaker in lace-up style is built from breathable suede mesh upper. Featuring a contoured chunky outsole, pull tabs on rear and cushioned collar. The casual sneakers are ideal for walks through cities and park.",0
38,38,Grey/Green Sports Shoe for men,Grey/Green Sports Shoe for men,1,1871,2,GREY/GREEN,,,,,FGC0EM0S0162A,0,44/45,SUEDE FABRIC,"Sporty detailing adds comfort to this casual and lightweight, all-activity sneaker that has multi color detail on fabric upper. The casual shoe for men features cushioned collar and tongue, arched heel support, pull tabs on rear, Woodsports branding on sides and suede accents that enhance its appearance.",0
39,39,Navy Slip-on shoe for men,Navy Slip-on shoe for men,3,3997,3,NAVY,GREY,WHITE,,,FGC0Z7041632A,0,40/41/42,PU,"A must-have for your casual wardrobe, this navy slip-on shoe is never going out of style. The shoe has polyurethane upper, is set on EVA outsole and has rubberized EVA sock insole that adds to the comfort of the shoe.",0
40,40,Superstar Shoes,Men originals,2,6499.5,16,Black,White,,,,CW2288-001,4856 reviews,3/3.5/4/4.5/5/5.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,comfortable,perfect,4.8
41,41,Superstar Shoes,originals,3,8999,9,White,,,,,DX5883-100,7027 reviews,06-Aug,comfortable,perfect,4.6
42,42,Superstar Shoes,Women Lifestyles,1,4499.5,7,White,Summit White,Iron Grey,Black,,DX9176-107,7027 reviews,8/9/10/10.5/11/12,comfortable,perfect,4.8
43,43,Samba OG Shoes,originals,4,10999,10,Pink,white,Black,Red,,DD8959-600,4856 reviews,3/3.5/4/4.5/5/5.5/6/6.5/6/6.5/7/7.5/8/8.5/9/9.5/10/10.5/11/12,comfortable,perfect,4.8
44,44,Samba OG Shoes,originals,4,11999,3,Pink,Black,,,,FN3722-801,19765 reviews,3/3.5/4/5/6/7/7.5/8/8.5/9/9.5/10/10.5/11/12,comfortable,perfect,4.8
45,45,VS Pace 2.0 Shoes,Men Skateboarding,7,3599.5,11,Red,Gree,Pink,Orange,,FQ8048-133,823 reviews,6/7/7.5/8/8.5/9/9.5/10/11/12,comfortable,perfect,4.6
46,46,Galaxy 6 Shoes,Men Running,7,11999.5,7,white,,,,,FQ8075-133,115 reviews,6,comfortable,perfect,4.6
47,47,Ultraboost Light,Men Running,3,4199.5,13,Blue,,,,,FB8896-300,376 reviews,6/7/8/9/10/11,comfortable,perfect,4.4
48,48,Ultimashow Shoes,Men Sportswear,6,2364.5,13,Black,,,,,FB9658-001,389 reviews,6/9/11/12,comfortable,perfect,4.4
49,49,FLUIDFLOW 2.0 RUNNING SHOES,Men Running,1,17999,4,Grey,Green,"Pink,",Orange,,FJ9532-100,127 reviews,06-09-12,comfortable,perfect,4.2
50,50,Ultraboost 1.0 Shoes,Men Sportswear,1,1979.5,6,Pink,Green,Black,,,FB2185-300,240 reviews,6/7/7.5/8/9/9.5/10/11,comfortable,perfect,4.2
51,51,ADI ZOOM SHOES,Men Running,5,2399.5,17,Grey,Black,Yellow,,,FB8875-002,222 reviews,08-Sep,comfortable,perfect,4.1
52,52,RAYRUN SHOES,Women Running,1,1799.5,11,White,,,,,FD8683-100,19 reviews,05-Jul,comfortable,perfect,4.1
53,53,HYPERON 1.0 SHOES,Men Running,1,5999.5,11,Pink,Green,,,,FB2269-103,159 reviews,06-Aug,comfortable,perfect,4.2
54,54,Grand Court Cloudfoam Comfort Shoes,Men Sportswear,4,7199.5,10,Pink,Black,,,,DC0774-080,180 reviews,8/9/11/12,comfortable,perfect,4.7
55,55,Pureboost 22 Shoes,Running,3,17999,13,Green,,,,,FD6692-001,230 reviews,04-Jun,comfortable,perfect,4.4
56,56,Ultraboost 1.0 Shoes,Men Sportswear,5,2999.5,15,White,,,,,DX9025-101,3039 reviews,8,comfortable,perfect,4.7
57,57,Lite Racer Adapt 4.0 Cloudfoam Slip-On,Men Running,6,4899.5,13,Black,White,,,,FB2067-001,260 reviews,6/7/7.5/8/9/10/11,comfortable,perfect,4.7
58,58,FLODEAN SHOES,Men Walking,3,3299,16,Grey,Black,Green,Red,Yellow,FB2382-900,1216 reviews,6/7/8/9/10/11/12,comfortable,perfect,4.6
59,59,Adilette Comfort Sliders,sportswear,4,3999,9,Grey,Black,White,Red,,FN7999-001,38 reviews,7/8/9/10/11/12,comfortable,perfect,4.2
60,60,MAX CUSHIONING ARCH FIT -ENIG,Men,1,5699,18,Puma Black,Puma White,,,,374915_01,41,8,comfortable,durable,4.9
61,61,UNO - EVERYWEAR,Women,2,4899,18,Puma Black,Puma Black,,,,374915_02,40,05-Jun,comfortable,durable,4.3
62,62,AIR CUSHIONING,Men,3,7999,16,Puma White,,,,,374915_12,1,12,,,5
63,63,AIR CUSHIONING,Men,3,7999,18,Steel Gray,Puma White,,,,374915_07,1,12,,,5
64,64,MIRA,Men,1,7999,18,High Risk Red,Puma White,,,,374915_02,0,7,,,0
65,65,ARCH FIT GLIDE-STEP,Men,2,7999,18,Puma White,,,,,374915_06,1,07-Sep,comfortable,,4
66,66,MAX CUSHIONING HYPER CRAZE BO,Women,1,13999,20,Honey Mustard,Puma White,,,,374915_05,11,08-10-12,comfortable,durable,4.9
67,67,STAMINA V3,Men,1,6749,14,Gray Violet,Puma White,,,,374915_03,0,07-Dec,,0,0
68,68,GO RUN RAZOR TRL - 2,Men,2,11249,7,Black,Puma White,,,,380560_01,5,12,comfortable,durable,4
69,69,MAX CUSHIONING HYPER CRAZE BO,Men,2,13999,13,Black,Puma White,,,,380561_01,11,08-10-12,comfortable,durable,4.9
70,70,UNO - EVERYWEAR,Women,1,6999,19,Puma White,Puma Black,,,,374923_02,40,5,comfortable,durable,4.3
71,71,GLOBAL JOGGER - POSTER,Men,1,5249,11,CA Pro Classic SneakersPuma Black,,,,,381983_01,0,7/8/9/10/11,,,0
72,72,GO RUN HYPER BURST - HAPTIC R,Men,1,5399,13,High Risk Red,Puma White,,,,380561_02,0,07-Dec,,,0
