,Unnamed: 0,Shoename,Category,Colour,Shoe_Price,CountOfSizes,Color1,Color2,Color3,Color4,Color5,Style_codeProduct_code,Reviews,Size,Comfort,Durability_quality_performance,Star_rating
99,99,Nike Revolution 7,Men,4,3695,6,Core Black,Core Black,Grey Six,Stone,,GC0569,1,"3.5, 4,4.5,5,5.5,6,6.5,7,7.5",Highly Comfortable,We added puffs to the heel that are visible on the outside of the shoe. Theyre soft to the touch and help add comfort to your Achilles. Touch points on the tongue create a natural feel as you take off,5
100,100,Suede Classic XXI SneakersPuma Black-Puma White$75.00,Puma Mens,2,6228,1,Black,Grey,,,,220195,421,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Comfortable sockliner,Full suede upper with synthetic lining,4
101,101,Suede Classic XXI SneakersPeacoat-Puma White$75.00,Puma Mens,2,6228,2,Navy Blue,Rose,Light Pink,,,177102-NVY,421,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Comfortable sockliner,Comfortable sockliner,4
102,102,Suede Classic XXI SneakersPuma Black-Puma Black$75.00,Puma Mens,3,6228,1,Grey,Orange,Navy Blue,,,232561,421,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",Comfortable sockliner,Classic low-rise silhouette,4
103,103,Suede Classic XXI SneakersSteel Gray-Puma White$75.00,Puma Mens,3,6228,1,Orange,,,,,232561,421,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Comfortable sockliner,Comfortable sockliner,4
104,104,Suede Classic XXI SneakersHigh Risk Red-Puma White$75.00,Puma Mens,1,6228,1,Navy/Orange,White/Multi,,,,232218,421,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Comfortable sockliner,PUMA Formstrip on medial and lateral sides,4
105,105,Suede Classic XXI SneakersCabernet-Puma White$75.00,Puma Mens,1,6228,2,Yellow,,,,,232529,421,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14",Comfortable sockliner,PUMA Formstrip on medial and lateral sides,4
106,106,Suede Classic XXI Sneakers Big KidsPuma Black-Puma White$60.00,Puma Mens,4,6228,3,Lime,,,,,220691,421,"4,4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12,12.5,13,13.5,14,14.5,15",Comfortable sockliner,Full suede upper with synthetic lining,4
107,107,Suede Classic XXI Little Kids' ShoesPuma Black-Puma White$55.00,Puma Mens,2,6228,2,Black/White,Black/White/Red,,,,894087,421,"4.5,5,5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5,11,11.5,12",Comfortable sockliner,Comfortable sockliner,4
108,108,Mayze Women's SneakersPuma White-Puma Black$90.00,Puma Mens,3,4982.4,1,Blue/Green,Black/Multi,,,,246077,421,"4.5,5,5.5,6,6.5,7",Highly Comfortable,Classic low-rise silhouette,5
